Feasible.Guesses	Frequency	Probability	Plural	Feasible.Secrets
adzes	0	0	0	FALSE
aecia	0	0	0	FALSE
aedes	173718	0	0	FALSE
aegis	1349788	0.58	0	TRUE
aeons	92070	0	0	FALSE
aerie	107043	0.57511	0	TRUE
aeros	137375	0	0	FALSE
aesir	33093	0	0	FALSE
afald	0	0	0	FALSE
afara	0	0	0	FALSE
afars	16470	0	0	FALSE
afear	0	0	0	FALSE
affix	444121	0.576954	0	TRUE
afire	113772	0.576559	0	TRUE
aflaj	0	0	0	FALSE
afoot	364417	0.58	0	TRUE
afore	191691	0.0306611	0	TRUE
afoul	159727	0.58	0	TRUE
afrit	0	0	0	FALSE
afros	24950	0	0	FALSE
after	372948094	0.58	0	TRUE
again	150781416	0.58	0	TRUE
agama	68959	0	0	FALSE
agami	18814	0	0	FALSE
agape	414471	0.576033	0	TRUE
agars	0	0	0	FALSE
agast	0	0	0	FALSE
agate	900451	0.558743	0	TRUE
agave	312239	0.575508	0	TRUE
agaze	0	0	0	FALSE
agene	0	0	0	FALSE
agent	57103658	0.58	0	TRUE
agers	180316	0	0	FALSE
agger	27373	0	0	FALSE
aggie	616732	0	0	FALSE
aggri	0	0	0	FALSE
aggro	171343	0	0	FALSE
aggry	0	0	0	FALSE
aghas	0	0	0	FALSE
agila	64661	0	0	FALSE
agile	1808955	0.58	0	TRUE
aging	12014007	0.58	0	TRUE
agios	230082	0	0	FALSE
agism	0	0	0	FALSE
agist	0	0	0	FALSE
agita	0	0.568466	0	TRUE
aglee	0	0	0	FALSE
aglet	21535	0	0	FALSE
agley	0	0	0	FALSE
agloo	0	0	0	FALSE
aglow	110328	0.57652	0	TRUE
aglus	0	0	0	FALSE
agmas	0	0	0	FALSE
agoge	0	0	0	FALSE
agone	0	0	0	FALSE
agons	0	0	0	FALSE
agony	1543205	0.58	0	TRUE
agood	24742	0	0	FALSE
agora	797585	0.540652	0	TRUE
agree	47500911	0.58	0	TRUE
agria	0	0	0	FALSE
agrin	23924	0	0	FALSE
agros	0	0	0	FALSE
agued	0	0	0	FALSE
agues	0	0	0	FALSE
aguna	0	0	0	FALSE
aguti	0	0	0	FALSE
ahead	28375319	0.58	0	TRUE
aheap	0	0	0	FALSE
ahent	0	0	0	FALSE
ahigh	12899	0	0	FALSE
ahind	0	0	0	FALSE
ahing	0	0	0	FALSE
ahint	0	0	0	FALSE
ahold	295977	0.568244	0	TRUE
ahull	0	0	0	FALSE
ahuru	0	0	0	FALSE
aidas	0	0	0	FALSE
aided	3314916	0.00187746	0	TRUE
aider	140957	0.467914	0	TRUE
drags	518855	0	1	TRUE
aidoi	0	0	0	FALSE
aidos	0	0	0	FALSE
aiery	0	0	0	FALSE
aigas	0	0	0	FALSE
aight	127253	0	0	FALSE
ailed	20703	0.00187746	0	TRUE
aimed	10030370	0.00187746	0	TRUE
aimer	96862	0	0	FALSE
ainee	0	0	0	FALSE
ainga	0	0	0	FALSE
aioli	84769	0.58	0	TRUE
aired	2159611	0.00187746	0	TRUE
airer	36215	0	0	FALSE
airns	0	0	0	FALSE
airth	28113	0	0	FALSE
airts	0	0	0	FALSE
aisle	1917319	0.58	0	TRUE
aitch	28626	0	0	FALSE
aitus	0	0	0	FALSE
aiver	0	0	0	FALSE
aiyee	0	0	0	FALSE
aizle	0	0	0	FALSE
ajies	0	0	0	FALSE
ajiva	0	0	0	FALSE
ajuga	31146	0	0	FALSE
ajwan	0	0	0	FALSE
akees	0	0	0	FALSE
akela	28395	0	0	FALSE
akene	0	0	0	FALSE
aking	105864	0	0	FALSE
akita	440387	0	0	FALSE
akkas	0	0	0	FALSE
alaap	0	0	0	FALSE
alack	38913	0	0	FALSE
alamo	2162395	0	0	TRUE
aland	874439	0	0	FALSE
alane	34667	0	0	FALSE
alang	48219	0	0	FALSE
alans	34103	0	0	FALSE
alant	0	0	0	FALSE
alapa	0	0	0	FALSE
alaps	0	0	0	FALSE
alarm	17059844	0.58	0	TRUE
alary	13261	0	0	FALSE
alate	0	0	0	FALSE
alays	0	0	0	FALSE
albas	0	0	0	FALSE
albee	239116	0	0	FALSE
album	77914316	0.58	0	TRUE
alcid	0	0	0	FALSE
alcos	0	0	0	FALSE
aldea	47423	0	0	FALSE
alder	972850	0.553994	0	TRUE
aldol	32614	0	0	FALSE
aleck	69914	0	0	FALSE
alecs	0	0	0	FALSE
alefs	0	0	0	FALSE
aleft	0	0	0	FALSE
aleph	692035	0	0	FALSE
alert	32472727	0.58	0	TRUE
alews	0	0	0	FALSE
aleye	0	0	0	FALSE
alfas	23952	0	0	FALSE
algae	2068644	0.58	0	TRUE
algal	510781	0	0	FALSE
algas	36273	0	0	FALSE
algid	0	0	0	FALSE
algin	0	0	0	FALSE
algor	79868	0	0	FALSE
algum	21242	0	0	FALSE
stews	519188	0	1	TRUE
alibi	448710	0.58	0	TRUE
alien	10490554	0.58	0	TRUE
alifs	0	0	0	FALSE
align	5478643	0.58	0	TRUE
alike	6220739	0.58	0	TRUE
aline	267309	0	0	FALSE
alist	270374	0	0	FALSE
alive	16064787	0.58	0	TRUE
aliya	86771	0	0	FALSE
alkie	0	0	0	FALSE
alkos	0	0	0	FALSE
alkyd	101898	0	0	FALSE
alkyl	637228	0	0	FALSE
allay	203474	0.58	0	TRUE
allee	204946	0	0	FALSE
allel	39827	0	0	FALSE
alley	4541475	0.58	0	TRUE
allis	603850	0	0	FALSE
allod	0	0	0	FALSE
allot	396325	0.568466	0	TRUE
allow	67052567	0.58	0	TRUE
alloy	5468839	0.579472	0	TRUE
allyl	130966	0	0	FALSE
almah	0	0	0	FALSE
almas	48769	0	0	FALSE
almeh	0	0	0	FALSE
almes	44838	0	0	FALSE
almud	0	0	0	FALSE
almug	0	0	0	FALSE
alods	0	0	0	FALSE
aloed	0	0	0	FALSE
aloes	66464	0	0	FALSE
aloft	497342	0.58	0	TRUE
aloha	2099181	0.549883	0	TRUE
aloin	0	0	0	FALSE
alone	39326417	0.58	0	TRUE
along	83444756	0.58	0	TRUE
aloof	294291	0.58	0	TRUE
aloos	0	0	0	FALSE
aloud	3743858	0.58	0	TRUE
alowe	0	0	0	FALSE
alpha	27832836	0.58	0	TRUE
altar	2627835	0.58	0	TRUE
alter	7831337	0.58	0	TRUE
altho	159231	0	0	FALSE
fates	519225	0	1	TRUE
alula	13600	0	0	FALSE
alums	271859	0	0	FALSE
alure	0	0	0	FALSE
alvar	106564	0	0	FALSE
alway	201600	0	0	FALSE
amahs	0	0	0	FALSE
amain	28001	0	0	FALSE
amaro	107617	0.552273	0	TRUE
amass	181774	0.58	0	TRUE
amate	27910	0	0	FALSE
amaut	0	0	0	FALSE
amaze	791672	0.58	0	TRUE
amban	0	0	0	FALSE
amber	11065507	0.58	0	TRUE
ambit	247267	0.552868	0	TRUE
amble	141586	0.58	0	TRUE
ambos	104687	0	0	FALSE
ambry	16543	0	0	FALSE
ameba	0	0	0	FALSE
ameer	56160	0	0	FALSE
amend	7806844	0.58	0	TRUE
amene	0	0	0	FALSE
amens	0	0	0	FALSE
ament	68334	0	0	FALSE
amias	0	0	0	FALSE
amice	0	0	0	FALSE
amici	498099	0	0	FALSE
amide	316773	0	0	FALSE
amido	25154	0	0	FALSE
amids	0	0	0	FALSE
amies	35247	0	0	FALSE
amiga	2201683	0	0	TRUE
amigo	1094662	0.530151	0	TRUE
amine	689951	0	0	FALSE
amino	8273641	0.57845	0	TRUE
amins	0	0	0	FALSE
amirs	0	0	0	FALSE
amiss	271389	0.58	0	TRUE
amity	540428	0.565028	0	TRUE
amlas	0	0	0	FALSE
amman	907030	0	0	FALSE
ammon	296510	0	0	FALSE
ammos	0	0	0	FALSE
amnia	0	0	0	FALSE
amnic	0	0	0	FALSE
amnio	26543	0	0	FALSE
amoks	0	0	0	FALSE
amole	0	0	0	FALSE
among	83431590	0.58	0	TRUE
amort	52215	0	0	FALSE
amour	1346779	0.564716	0	TRUE
amove	0	0	0	FALSE
amowt	0	0	0	FALSE
amped	318536	0.00187746	0	TRUE
ample	3187842	0.58	0	TRUE
amply	321480	0.58	0	TRUE
ampul	0	0	0	FALSE
amrit	117386	0	0	FALSE
amuck	70822	0.42459	0	TRUE
amuse	554922	0.58	0	TRUE
amyls	0	0	0	FALSE
anana	0	0	0	FALSE
anata	97604	0	0	FALSE
ancho	95151	0.564795	0	TRUE
ancle	0	0	0	FALSE
ancon	27256	0	0	FALSE
andro	154794	0	0	FALSE
anear	0	0	0	FALSE
anele	62912	0	0	FALSE
anent	27966	0	0	FALSE
angas	37853	0	0	FALSE
angel	25294123	0.58	0	TRUE
anger	7991036	0.58	0	TRUE
angle	17016075	0.58	0	TRUE
anglo	2798286	0	0	TRUE
angry	9267505	0.58	0	TRUE
angst	1232364	0.58	0	TRUE
anigh	0	0	0	FALSE
anile	14401	0	0	FALSE
anils	0	0	0	FALSE
anima	559141	0.530151	0	TRUE
anime	31334688	0.58	0	TRUE
animi	21791	0	0	FALSE
anion	504530	0	0	FALSE
anise	324336	0.58	0	TRUE
anker	175826	0	0	FALSE
ankhs	0	0	0	FALSE
ankle	4146793	0.58	0	TRUE
ankus	0	0	0	FALSE
anlas	0	0	0	FALSE
annal	91257	0.00620426	0	TRUE
annas	115640	0	0	FALSE
annat	53865	0	0	FALSE
annex	8465905	0.58	0	TRUE
annoy	1497815	0.58	0	TRUE
annul	146490	0.58	0	TRUE
anoas	0	0	0	FALSE
anode	768949	0.461338	0	TRUE
anole	39883	0.461338	0	TRUE
anomy	22835	0	0	FALSE
ansae	0	0	0	FALSE
antae	0	0	0	FALSE
antar	62848	0	0	FALSE
antas	14611	0	0	FALSE
anted	16159	0	0	FALSE
antes	472677	0	0	FALSE
antic	147936	0.58	0	TRUE
antis	61179	0	0	FALSE
antra	14888	0	0	FALSE
antre	0	0	0	FALSE
antsy	82656	0.58	0	TRUE
anura	97111	0	0	FALSE
anvil	936808	0.58	0	TRUE
anyon	37349	0	0	FALSE
aorta	641057	0.58	0	TRUE
apace	154873	0.58	0	TRUE
apage	0	0	0	FALSE
apaid	0	0	0	FALSE
apart	16507181	0.58	0	TRUE
apayd	0	0	0	FALSE
apays	0	0	0	FALSE
apeak	0	0	0	FALSE
apeek	0	0	0	FALSE
apers	39349	0	0	FALSE
apert	36425	0	0	FALSE
apery	0	0	0	FALSE
apgar	114178	0	0	FALSE
aphid	295138	0.535033	0	TRUE
aphis	389447	0	0	FALSE
apian	0	0	0	FALSE
aping	42534	0.568411	0	TRUE
apiol	0	0	0	FALSE
apish	0	0	0	FALSE
apism	0	0	0	FALSE
apnea	950562	0.577595	0	TRUE
apode	0	0	0	FALSE
apods	0	0	0	FALSE
apoop	0	0	0	FALSE
aport	0	0	0	FALSE
appal	27269	0	0	FALSE
appay	0	0	0	FALSE
appel	812311	0	0	FALSE
apple	50551171	0.58	0	TRUE
apply	76341478	0.58	0	TRUE
appro	352278	0	0	FALSE
appui	68595	0	0	FALSE
appuy	0	0	0	FALSE
apres	282360	0	0	FALSE
apron	1617357	0.58	0	TRUE
apses	0	0	0	FALSE
apsis	53093	0	0	FALSE
apsos	17502	0	0	FALSE
apted	47832	0	0	FALSE
apter	75596	0	0	FALSE
aptly	598371	0.58	0	TRUE
aquae	38767	0	0	FALSE
aquas	0	0	0	FALSE
araba	85785	0	0	FALSE
araks	0	0	0	FALSE
arame	0	0	0	FALSE
arars	32570	0	0	FALSE
arbas	0	0	0	FALSE
arbor	5057261	0.551582	0	TRUE
arced	26654	0.00187746	0	TRUE
archi	260000	0	0	FALSE
arcos	151492	0	0	FALSE
arcus	129194	0	0	FALSE
ardeb	0	0	0	FALSE
ardor	155258	0.577371	0	TRUE
ardri	0	0	0	FALSE
aread	0	0	0	FALSE
areae	0	0	0	FALSE
areal	289091	0	0	FALSE
arear	0	0	0	FALSE
lubes	520715	0	1	TRUE
areca	78703	0	0	FALSE
aredd	0	0	0	FALSE
arede	0	0	0	FALSE
arefy	0	0	0	FALSE
areic	0	0	0	FALSE
arena	13966572	0.58	0	TRUE
arene	37383	0	0	FALSE
arepa	0	0	0	FALSE
arere	0	0	0	FALSE
arete	181243	0	0	FALSE
arets	0	0	0	FALSE
arett	0	0	0	FALSE
argal	0	0	0	FALSE
argan	26269	0	0	FALSE
argil	0	0	0	FALSE
argle	0	0	0	FALSE
argol	0	0	0	FALSE
argon	760267	0.544143	0	TRUE
argot	51766	0.575949	0	TRUE
argue	8353605	0.58	0	TRUE
argus	2172332	0	0	TRUE
arhat	28698	0	0	FALSE
clays	522200	0	1	TRUE
ariel	2731662	0	0	TRUE
ariki	46804	0	0	FALSE
arils	0	0	0	FALSE
ariot	0	0	0	FALSE
arise	8337093	0.58	0	TRUE
arish	45447	0	0	FALSE
arked	0	0	0	FALSE
arled	0	0	0	FALSE
arles	495534	0	0	FALSE
armed	13866785	0.58	0	TRUE
armer	48949	0	0	FALSE
armet	0	0	0	FALSE
armil	0	0	0	FALSE
armor	6001844	0.58	0	TRUE
arnas	0	0	0	FALSE
arnut	0	0	0	FALSE
aroba	0	0	0	FALSE
aroha	51420	0	0	FALSE
aroid	0	0	0	FALSE
aroma	2018777	0.58	0	TRUE
arose	2609029	0.58	0	TRUE
arpas	0	0	0	FALSE
arpen	0	0	0	FALSE
arrah	0	0	0	FALSE
arras	163483	0	0	FALSE
array	25150016	0.58	0	TRUE
arret	0	0	0	FALSE
arris	70170	0	0	FALSE
arrow	11563142	0.58	0	TRUE
arroz	110715	0	0	FALSE
arsed	125628	0	0	FALSE
arses	82425	0	0	FALSE
arsey	0	0	0	FALSE
arsis	24659	0	0	FALSE
arson	989351	0.58	0	TRUE
artal	0	0	0	FALSE
artel	29896	0	0	FALSE
artic	431117	0	0	FALSE
artis	394835	0	0	FALSE
artsy	333481	0.58	0	TRUE
aruhe	0	0	0	FALSE
arums	0	0	0	FALSE
arval	17215	0	0	FALSE
arvee	0	0	0	FALSE
arvos	0	0	0	FALSE
aryls	0	0	0	FALSE
asana	175243	0	0	FALSE
ascon	12971	0	0	FALSE
ascot	888745	0.556023	0	TRUE
ascus	37312	0	0	FALSE
asdic	0	0	0	FALSE
ashed	0	0.00187746	0	TRUE
ashen	184747	0.58	0	TRUE
ashes	3011008	0	0	TRUE
ashet	0	0	0	FALSE
aside	11768649	0.58	0	TRUE
asked	75532722	0.00187746	0	TRUE
asker	948596	0.445485	0	TRUE
askew	473664	0.58	0	TRUE
askoi	0	0	0	FALSE
askos	0	0	0	FALSE
aspen	4626441	0.563893	0	TRUE
asper	84389	0	0	FALSE
aspic	54553	0.5595	0	TRUE
aspie	0	0	0	FALSE
aspis	0	0	0	FALSE
aspro	70422	0	0	FALSE
assai	54173	0	0	FALSE
assam	803070	0	0	FALSE
assay	3855224	0.548421	0	TRUE
asses	4583177	0	0	TRUE
asset	18178753	0.58	0	TRUE
assez	83499	0	0	FALSE
assot	0	0	0	FALSE
aster	718311	0.531322	0	TRUE
astir	51145	0.50057	0	TRUE
astun	0	0	0	FALSE
asura	54205	0	0	FALSE
asway	0	0	0	FALSE
aswim	0	0	0	FALSE
asyla	0	0	0	FALSE
ataps	0	0	0	FALSE
ataxy	0	0	0	FALSE
atigi	0	0	0	FALSE
atilt	0	0	0	FALSE
atimy	0	0	0	FALSE
atlas	12221120	0.57597	0	TRUE
atman	173626	0	0	FALSE
atmas	0	0	0	FALSE
atmos	488481	0	0	FALSE
atocs	0	0	0	FALSE
atoke	0	0	0	FALSE
atoks	0	0	0	FALSE
atoll	908471	0.568521	0	TRUE
faves	522653	0	1	TRUE
atomy	0	0	0	FALSE
atone	152901	0.58	0	TRUE
atony	0	0	0	FALSE
atopy	66364	0	0	FALSE
atria	279451	0.49569	0	TRUE
atrip	0	0	0	FALSE
attap	73826	0	0	FALSE
attar	86729	0	0	FALSE
attic	3347389	0.58	0	TRUE
atuas	0	0	0	FALSE
audad	0	0	0	FALSE
audio	127014703	0.58	0	TRUE
audit	20786243	0.58	0	TRUE
auger	678597	0.535995	0	TRUE
aught	207367	0	0	FALSE
augur	120764	0.576461	0	TRUE
aulas	22980	0	0	FALSE
aulic	0	0	0	FALSE
auloi	0	0	0	FALSE
aulos	26850	0	0	FALSE
aumil	0	0	0	FALSE
aunes	0	0	0	FALSE
booms	524101	0	1	TRUE
aunty	239524	0.0339863	0	TRUE
aurae	0	0	0	FALSE
aural	744671	0.58	0	TRUE
aurar	0	0	0	FALSE
auras	134666	0	0	FALSE
aurei	0	0	0	FALSE
aures	0	0	0	FALSE
auric	79392	0	0	FALSE
auris	34496	0	0	FALSE
aurum	141480	0	0	FALSE
dares	526302	0	1	TRUE
auxin	154606	0	0	FALSE
avail	3902711	0.58	0	TRUE
avale	0	0	0	FALSE
avant	2710283	0	0	TRUE
avast	449613	0.403969	0	TRUE
avels	0	0	0	FALSE
avens	43203	0	0	FALSE
avers	109324	0	0	FALSE
avert	767435	0.58	0	TRUE
avgas	40092	0	0	FALSE
avian	2877167	0.58	0	TRUE
avine	0	0	0	FALSE
avion	581489	0	0	FALSE
avise	40613	0	0	FALSE
aviso	354132	0	0	FALSE
avize	0	0	0	FALSE
avoid	36508203	0.58	0	TRUE
avows	12784	0	0	FALSE
avyze	0	0	0	FALSE
await	1745587	0.58	0	TRUE
awake	3230337	0.58	0	TRUE
award	59652161	0.58	0	TRUE
aware	25700328	0.58	0	TRUE
awarn	0	0	0	FALSE
awash	274221	0.58	0	TRUE
awato	0	0	0	FALSE
awave	20063	0	0	FALSE
aways	400767	0	0	FALSE
awdls	0	0	0	FALSE
aweel	0	0	0	FALSE
aweto	0	0	0	FALSE
awful	5217370	0.58	0	TRUE
awing	0	0	0	FALSE
awmry	0	0	0	FALSE
awned	19334	0	0	FALSE
awner	0	0	0	FALSE
awoke	688520	0.58	0	TRUE
awols	0	0	0	FALSE
awork	0	0	0	FALSE
axels	33994	0	0	FALSE
axial	1685087	0.520084	0	TRUE
axile	0	0	0	FALSE
axils	29666	0	0	FALSE
axing	53425	0.541029	0	TRUE
axiom	1495473	0.5796	0	TRUE
axion	276049	0.0286311	0	TRUE
axite	0	0	0	FALSE
axled	0	0	0	FALSE
tongs	531760	0	1	TRUE
axman	0	0	0	FALSE
axmen	0	0	0	FALSE
axoid	0	0	0	FALSE
axone	19386	0	0	FALSE
axons	385758	0	0	FALSE
ayahs	0	0	0	FALSE
ayaya	0	0	0	FALSE
ayelp	0	0	0	FALSE
aygre	0	0	0	FALSE
ayins	0	0	0	FALSE
ayont	0	0	0	FALSE
ayres	606243	0	0	FALSE
ayrie	0	0	0	FALSE
azans	0	0	0	FALSE
azide	254983	0	0	FALSE
azido	28802	0	0	FALSE
azine	0	0	0	FALSE
azlon	0	0	0	FALSE
azoic	0	0	0	FALSE
azole	41201	0	0	FALSE
azons	0	0	0	FALSE
azote	12841	0	0	FALSE
azoth	0	0	0	FALSE
azuki	13449	0	0	FALSE
azure	1042257	0.577309	0	TRUE
azurn	0	0	0	FALSE
azury	0	0	0	FALSE
azygy	0	0	0	FALSE
azyme	0	0	0	FALSE
azyms	0	0	0	FALSE
baaed	0	0	0	FALSE
baals	0	0	0	FALSE
babas	19694	0	0	FALSE
babel	1047472	0.457744	0	TRUE
foils	533300	0	1	TRUE
babka	22606	0.554873	0	TRUE
baboo	16716	0	0	FALSE
babul	22216	0	0	FALSE
babus	0	0	0	FALSE
bacca	18209	0	0	FALSE
bacco	161419	0	0	FALSE
baccy	0	0	0	FALSE
bacha	25536	0	0	FALSE
bachs	17081	0	0	FALSE
leans	533946	0	1	TRUE
bacon	5385205	0.58	0	TRUE
baddy	15679	0	0	FALSE
badge	6145138	0.58	0	TRUE
badly	5290145	0.58	0	TRUE
baels	0	0	0	FALSE
baffs	0	0	0	FALSE
baffy	0	0	0	FALSE
bafts	0	0	0	FALSE
bagel	792721	0.58	0	TRUE
baggy	419677	0.58	0	TRUE
baghs	0	0	0	FALSE
bagie	0	0	0	FALSE
bahts	100220	0	0	FALSE
bahus	0	0	0	FALSE
bahut	0	0	0	FALSE
bails	149105	0	0	FALSE
bairn	34786	0	0	FALSE
baisa	0	0	0	FALSE
baith	14124	0	0	FALSE
muses	535008	0	1	TRUE
baiza	0	0	0	FALSE
baize	48414	0	0	FALSE
bajan	42864	0	0	FALSE
bajra	0	0	0	FALSE
bajri	0	0	0	FALSE
bajus	0	0	0	FALSE
baked	4716100	0.58	0	TRUE
baken	16235	0	0	FALSE
baker	14862470	0.58	0	TRUE
bakes	173816	0	0	FALSE
bakra	0	0	0	FALSE
balas	68596	0	0	FALSE
balds	0	0	0	FALSE
baldy	261017	0.353635	0	TRUE
baled	78514	0.00187746	0	TRUE
baler	153800	0.449842	0	TRUE
casas	538695	0	1	TRUE
balks	62743	0	0	FALSE
balky	24948	0.58	0	TRUE
pours	540889	0	1	TRUE
bally	884078	0	0	FALSE
balms	256614	0	0	FALSE
balmy	210906	0.58	0	TRUE
baloo	94508	0	0	FALSE
balsa	485561	0.555377	0	TRUE
balti	137642	0	0	FALSE
balun	106049	0	0	FALSE
balus	0	0	0	FALSE
bambi	787833	0	0	FALSE
banak	0	0	0	FALSE
banal	260129	0.58	0	TRUE
banco	1182286	0	0	TRUE
bancs	16230	0	0	FALSE
banda	1187929	0	0	TRUE
bandh	43780	0	0	FALSE
probs	543256	0	1	TRUE
bandy	238539	0.539071	0	TRUE
baned	0	0	0	FALSE
banes	93807	0	0	FALSE
paras	551039	0	1	TRUE
bania	26516	0	0	FALSE
banjo	1940675	0.58	0	TRUE
haves	554576	0	1	TRUE
banns	145651	0	0	FALSE
bants	0	0	0	FALSE
bantu	215030	0	0	FALSE
banty	0	0	0	FALSE
banya	62734	0	0	FALSE
bapus	0	0	0	FALSE
barbe	111899	0	0	FALSE
barbs	274090	0	0	FALSE
barby	70276	0	0	FALSE
barca	340426	0	0	FALSE
barde	14315	0	0	FALSE
bardo	96541	0	0	FALSE
bards	285757	0	0	FALSE
bardy	0	0	0	FALSE
bared	186940	0.00187746	0	TRUE
barer	86373	0.445485	0	TRUE
bares	216791	0	0	FALSE
barfi	15384	0	0	FALSE
barfs	22116	0	0	FALSE
barge	1319916	0.58	0	TRUE
baric	41654	0	0	FALSE
barks	431387	0	0	FALSE
barky	20516	0	0	FALSE
barms	0	0	0	FALSE
barmy	75129	0	0	FALSE
skips	555853	0	1	TRUE
barny	29190	0	0	FALSE
baron	3504549	0.58	0	TRUE
barps	0	0	0	FALSE
barra	656133	0	0	FALSE
barre	1839524	0.57131	0	TRUE
barro	145814	0	0	FALSE
barry	12921548	0	0	TRUE
barye	0	0	0	FALSE
basal	1821739	0.563458	0	TRUE
basan	0	0	0	FALSE
based	252405204	0.00187746	0	TRUE
basen	30386	0	0	FALSE
baser	62041	0	0	FALSE
trams	558296	0	1	TRUE
basho	137891	0	0	FALSE
basic	84840226	0.58	0	TRUE
basij	0	0	0	FALSE
basil	2757419	0.58	0	TRUE
basin	10544774	0.58	0	TRUE
basis	59901425	0.58	0	TRUE
basks	33223	0	0	FALSE
bason	25169	0	0	FALSE
basse	317589	0	0	FALSE
bassi	178307	0	0	FALSE
basso	387021	0	0	FALSE
bassy	39488	0	0	FALSE
basta	306217	0	0	FALSE
baste	95369	0.58	0	TRUE
basti	61685	0	0	FALSE
basto	29914	0	0	FALSE
basts	0	0	0	FALSE
batch	7835050	0.58	0	TRUE
bated	65650	0.00187746	0	TRUE
bates	3503755	0	0	TRUE
bathe	494252	0.58	0	TRUE
dells	560024	0	1	TRUE
